Nome do Arquivo,Página,Conteúdo
governanca-privacidade (1).pdf,1,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
PROGRAMA DE
GOVERNANÇA EM
PRIVACIDADE
Superintendência de Governança e Estratégia
1"
governanca-privacidade (1).pdf,2,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
PROGRAMA DE
GOVERNANÇA EM
PRIVACIDADE
Superintendência de Governança e Estratégia
2"
governanca-privacidade (1).pdf,3,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
Agência Nacional do Petróleo, Gás Natural e Biocombustíveis
Julho, 2021
Diretor-Geral
Rodolfo Henrique de Saboia
Diretores
Symone Christine de Santana Araújo
José Cesário Cecchi
Dirceu Cardoso Amorelli Junior
Raphael Neves Moura (Diretor Substituto)
Superintendência de Governança e Estratégia
José Gutman – Superintendente de Governança e Estratégia
Sergio Alonso Trigo – Superintendente Adjunto de Governança e Estratégia
Elaboração
Raphael Borges Rodrigues – Coordenador de Governança
Andréa da Silva Fonseca – Assessora de Superintendência
André Moreira Nascimento – Especialista em Regulação
Aline Pereira dos Santos – Estagiária na Coordenação de Governança
3"
governanca-privacidade (1).pdf,4,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
1. INTRODUÇÃO À LEI GERAL DE PROTEÇÃO DE DADOS PESSOAIS – LGPD
Inspirada na norma europeia da Proteção de Dados (GDPR – General Data Protection Regulation), a Lei nº 13.709, de 14 de
agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), foi promulgada com o objetivo de regular as atividades de
“tratamento de dados pessoais, inclusive nos meios digitais, por pessoa natural ou por pessoa jurídica de direito público ou
privado, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvimento da
personalidade da pessoa natural” (art. 1º).
A LGPD versa, portanto, apenas sobre o tratamento de dados pessoais, não atingindo dados de pessoas jurídicas, documentos
sigilosos ou confidenciais, segredos de negócios, fórmulas, patentes, entre outros documentos ou informações que não sejam
relacionados à pessoa natural identificada ou identificável, uma vez que tais tipos de informação ou documento encontram
tutela em outros diplomas legais. Não obstante, ainda que tais documentos e informações não sejam objeto da LGPD, os
dados pessoais neles contidos estarão protegidos por ela. Nesse sentido, a análise de aplicabilidade da LGPD deverá se
aprofundar no mapeamento e inventário de dados pessoais estruturados ou não estruturados.
Importante salientar que a LGPD se aplica a qualquer operação de tratamento realizada por pessoa natural ou por pessoa
jurídica de direito público ou privado, independentemente do meio, do país de sua sede ou do país onde estejam localizados
os dados, conforme o disposto em seu art. 3º.
No que tange à sua aplicação pelo poder público, a LGPD estabelece, em seu art. 23, que o tratamento “deverá ser realizado
para o atendimento de sua finalidade pública, na persecução do interesse público, com o objetivo de executar as competências
legais ou cumprir as atribuições legais do serviço público”, “com informações claras e atualizadas sobre a previsão legal, a
finalidade, os procedimentos e as práticas utilizadas para execução dessas atividades, em veículos de fácil acesso”.
A LGPD classifica como dado pessoal a informação relacionada à pessoa natural identificada ou identificável (ex: nome, RG,
CPF, e-mail, IP, placa de automóvel, entre outros) e dado pessoal sensível como aquele relacionado sobre origem racial ou
étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado
referente à saúde ou à vida sexual, dado genético ou biométrico, quando vinculado a uma pessoa natural, isto é, em linhas
gerais, são os dados pessoais que possam trazer algum tipo de discriminação quanto ao seu tratamento (art. 5º, I e II).
Basicamente, a LGPD busca a proteção de direitos e garantias fundamentais da pessoa natural, mediante a harmonização e a
atualização de conceitos de modo a mitigar riscos e estabelecer regras bem definidas sobre o tratamento de dados pessoais.
1.1. Conceitos
Autoridade Nacional de Proteção de Dados - ANPD: órgão da administração pública responsável por zelar, implementar e
fiscalizar o cumprimento desta Lei em todo o território nacional.
Controlador: pessoa natural ou jurídica, de direito público ou privado, a quem competem as decisões referentes ao tratamento
de dados pessoais.
Dado Pessoal: informação relacionada a pessoa natural identificada ou identificável.
Dado Pessoal Sensível: dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou
a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico,
quando vinculado a uma pessoa natural.
Encarregado: pessoa natural indicada pelo controlador e operador para atuar como canal de comunicação entre o controlador,
os titulares dos dados e a Autoridade Nacional de Proteção de Dados.
Operador: pessoa natural ou jurídica, de direito público ou privado, que realiza o tratamento de dados pessoais em nome do
controlador.
Titular: qualquer pessoa natural, protegida pelo princípio da autodeterminação informativa.
4"
governanca-privacidade (1).pdf,5,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
1.2. Tratamento de Dados
• mediante o fornecimento de consentimento pelo titular;
• para o cumprimento de obrigação legal ou regulatória pelo controlador;
• pela administração pública, para o tratamento e uso compartilhado de dados necessários à execução de políticas públicas
previstas em leis e regulamentos ou respaldadas em contratos, convênios ou instrumentos congêneres, observadas as
disposições da Lei;
• para a realização de estudos por órgão de pesquisa, garantida, sempre que possível, a anonimização dos dados pessoais;
• quando necessário para a execução de contrato ou de procedimentos preliminares relacionados a contrato do qual seja
parte o titular, a pedido do titular dos dados;
• para o exercício regular de direitos em processo judicial, administrativo ou arbitral, esse último nos termos da Lei nº 9.307,
de 23 de setembro de 1996 (Lei de Arbitragem);
• para a proteção da vida ou da incolumidade física do titular ou de terceiros;
• para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias;
• para a tutela da saúde, exclusivamente, em procedimento realizado por profissionais de saúde, serviços de saúde ou
autoridade sanitária;
• quando necessário para atender aos interesses legítimos do controlador ou de terceiros, exceto no caso de prevalecerem
direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais; ou
• para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.
1.3. Direitos dos Titulares
• Confirmação da existência de tratamento;
• Acesso aos dados;
• Correção de dados incompletos, inexatos ou desatualizados;
• Anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o
disposto na Lei;
• Portabilidade dos dados a outro fornecedor de serviço ou produto, mediante requisição expressa, observados os segredos
comercial e industrial;
• Eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas na Lei;
• Informação das entidades públicas e privadas com as quais o controlador realizou uso compartilhado de dados;
• Informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;
• Revogação do consentimento, nos termos da Lei;
• Peticionamento em relação aos seus dados contra o controlador perante a autoridade nacional.
• Oposição a tratamento realizado com fundamento em uma das hipóteses de dispensa de consentimento, em caso de
descumprimento ao disposto na Lei.
1.3.1. Transparência passiva
• acesso à informação sobre a confirmação da existência de tratamento
• acesso aos dados coletados
• acesso à informação sobre entidades com as quais o controlador realizou uso compartilhado de dados
1.3.2. Peticionamento
• correção de dados incompletos, inexatos ou desatualizados
• anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o
disposto na LGPD
• revisão de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais que afetem seus
interesses
5"
governanca-privacidade (1).pdf,6,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
2. ESTRUTURA DE GOVERNANÇA DA ANP
A governança da ANP, alinhada ao disposto no Decreto nº 9.203, de 22 de novembro de 2017, é exercida por sua Diretoria
Colegiada e pela linha hierárquica da Agência, com o apoio de diversos comitês e comissões, tendo como norte o cumprimento
de suas atribuições legais, o atingimento de seus objetivos estratégicos e a entrega de valor para a sociedade.
A estrutura é composta por instâncias internas e externas de governança, sendo esta última representada pela Sociedade e
pelo Poder Executivo. O controle externo é realizado pelos Poderes Legislativo e Judiciário, Ministério Público, TCU, CGU, entre
outros órgãos.
As instâncias internas de apoio à governança, representadas pela Auditoria, Corregedoria, Ouvidoria, Inteligência, Comissão
de Ética e pela Superintendência de Governança e Estratégia, são responsáveis por definir e avaliar a estratégia e as políticas
da Agência, realizar a interlocução com órgãos de controle, monitorar riscos e realizar controles e auditorias internas,
comunicando diretamente à Diretoria Colegiada, disfunções identificadas.
Figura 2. Estrutura de governança
Nesse contexto, a Diretoria Colegiada estabeleceu a competência da Superintendência de Governança e Estratégia para
coordenar a elaboração e a implementação do Programa de Governança em Privacidade, bem como a competência da
Ouvidoria para atuar como canal de comunicação entre a ANP, os titulares dos dados e a Autoridade Nacional de Proteção
de Dados (ANPD), por meio do encarregado pelo tratamento de dados pessoais.
6"
governanca-privacidade (1).pdf,7,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
3. PROGRAMA DE GOVERNANÇA EM PRIVACIDADE
O Programa de Governança em Privacidade - PGP pode ser entendido como o conjunto de regras de boas práticas e de
governança que estabelecem as condições de organização, o regime de funcionamento, os procedimentos, as reclamações
dos titulares, as normas de segurança, os padrões técnicos, as obrigações para os envolvidos no tratamento, as ações
educativas, os mecanismos internos de supervisão e de diminuição de riscos e outros aspectos referentes ao tratamento de
dados pessoais.
O art. 50, § 2º, I, da LGPD elenca as características mínimas de um Programa de Governança em Privacidade - PGP, quais
sejam:
• comprometimento do controlador em adotar processos e políticas internas que assegurem o cumprimento, de forma
abrangente, de normas e boas práticas relativas à proteção de dados pessoais;
• aplicável a todo o conjunto de dados pessoais que estejam sob seu controle, independentemente do modo como se
realizou sua coleta;
• adaptado à estrutura, à escala e ao volume de suas operações, bem como à sensibilidade dos dados tratados;
• estabelecimento de políticas e salvaguardas adequadas com base em processo de avaliação sistemática de impactos e
riscos à privacidade;
• estabelecimento de relação de confiança com o titular, por meio de atuação transparente e que assegure mecanismos de
participação do titular;
• integrado a sua estrutura geral de governança e que estabeleça e aplique mecanismos de supervisão internos e externos;
• conte com planos de resposta a incidentes e remediação; e
• atualizado constantemente com base em informações obtidas a partir de monitoramento contínuo e avaliações periódicas.
Além disso, o controlador poderá demonstrar a efetividade de seu programa de governança em privacidade quando
apropriado e, em especial, a pedido da autoridade nacional ou de outra entidade responsável por promover o cumprimento
de boas práticas ou códigos de conduta, os quais, de forma independente, promovam o cumprimento da LGPD.
3.1. Metodologia
Ao contrário de um projeto, que tem início, meio e fim, um programa estabelece uma metodologia abrangente que influenciará
permanentemente os processos de tomada de decisão com base em riscos e melhorias contínuas na maturidade. Na
implementação da LGPD na ANP, para alcançar objetivos do programa, foi selecionada a metodologia mais adequada à
realidade institucional.
A estratégia para implementação da LGPD na ANP, tendo em vista as limitações de recursos humanos, seguirá a abordagem
iterativa e incremental, ao invés da execução do modelo em cascata. Visando atender a totalidade dos dados pessoais sob o
controle desta Agência, dividiremos os ciclos de entrega considerando os macroprocessos organizacionais da ANP e sua
relevância potencial na lida com dados pessoais.
Com isso, pretendemos dividir a implementação da LGPD na ANP em ciclos, em que primeiro vamos tratar das Uorgs já
visitadas anteriormente à elaboração do plano, sendo elas: AUD, CRG, OUV, SCI, SCL, SDT e SPC; seguido pelos
macroprocessos, na seguinte ordem: Outorga e contratação das atividades das indústrias do petróleo, gás natural e
biocombustíveis; Gestão de Pessoas; Fiscalização das atividades das indústrias do petróleo, gás natural e biocombustíveis;
Acompanhamento da execução de contratos das atividades das indústrias do petróleo e gás natural; Relacionamento com a
Sociedade; Regulação das atividades das indústrias do petróleo, gás natural e biocombustíveis; Gestão das informações das
atividades das indústrias do petróleo, gás natural e biocombustíveis; Suporte Institucional; Gestão Estratégica; Gestão da
Governança; e Gestão de Tecnologia da Informação.
Os critérios de priorização dos macroprocessos considerados, neste momento, para a ordem proposta acima são: maior
proporção de serviços digitais da ANP publicados no portal Gov.br relacionados a autorizações e outorgas; principais portas
de entrada de dados pessoais da ANP, por meio de cadastro para uso dos sistemas que apoiam os serviços digitais, como o
CSA – Central de Sistemas da ANP e o SEI; a lida com dados pessoais de servidores e colaboradores; participação em eventos
promovidos pela ANP ou de que a ANP faça parte; além de volume de seus contratos.
7"
governanca-privacidade (1).pdf,8,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
A STI e SGA-CGD (Coordenação de Gestão Documental), como administradores do CSA e do SEI, que apoiam serviços da
ANP, serão abordados paralelamente, dada a sua relevância no processamento de dados pessoais. O mesmo poderá ser feito
com a SGP, que lida com um grande volume de dados pessoais de servidores e colaboradores.
Cabe ressaltar que, à medida que os ciclos avancem, a priorização poderá ser revista, conforme o aprendizado da equipe de
implementação da LGPD.
O reporte de resultados à Diretoria Colegiada acontecerá de maneira independente do andamento deste Plano de Ação, a
cada semestre, representando uma “fotografia” do plano ao momento da elaboração do reporte. A responsabilidade por esse
reporte é da equipe de implementação da LGPD na ANP.
As demais atividades do Guia de Implementação da LGPD serão iniciadas no primeiro ciclo e revisitadas a cada novo ciclo,
levando em conta o contexto do ciclo, promovendo-se a atualização incremental dos instrumentos envolvidos.
3.2. Implementação
Conforme delimitado no Guia de Elaboração de Programa de Governança em Privacidade (2020), o PGP deve ser estruturado
nas seguintes fases: (i) Iniciação e Planejamento; (ii) Construção e Execução e (iii) Monitoramento, conforme a Figura 1 a seguir:
Figura 3 Fases do Programa de Governança em Privacidade
Fonte: Guia de Elaboração do Programa de Governança em Privacidade
A figura abaixo mostra as etapas sugeridas em todas as três fases.
Figura 4 Detalhamento das fases do PGP
Fonte: Guia de Elaboração do Programa de Governança em Privacidade, adaptado para a ANP
8"
governanca-privacidade (1).pdf,9,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
A. Fase de iniciação e planejamento
Nomeação do Encarregado pelo Tratamento de Dados Pessoais
Descrição: A nomeação do encarregado pelo tratamento de dados pessoais da ANP já foi executada e não necessita ser
repetida a cada ciclo.
Responsável: Diretoria Colegiada
Alinhamento de Expectativas com a Alta Administração
Descrição: Alinhar expectativas e entendimentos com a Diretoria Colegiada, pactuando e aprovando o modelo e os
instrumentos a serem adotados na ANP, definindo diretrizes de atuação e priorizando ações.
Responsável: SGE
Análise de Maturidade / Diagnóstico do atual estágio de adequação à LGPD
Descrição: Elaborar diagnóstico do estado atual de maturidade da organização quanto à proteção de dados pessoais.
Responsável: SGE
Análise e Adoção de Medidas de Segurança, inclusive Diretrizes e Cultura Interna
Descrição: Analisar e adotar medidas de segurança, revisando e propondo aprimoramento das diretrizes e cultura internas.
Coordenação: SGE
Execução: Descentralizada nas Unidades Organizacionais, de acordo com os ciclos apresentados na metodologia.
Subatividades:
• Realização de Benchmarking com outros órgãos da Administração Pública - Realizar um diagnóstico do estado de
maturidade de outros órgãos da administração pública quanto à proteção de dados pessoais, a fim de identificar e adotar
boas práticas implementadas em outras instituições;
• Designação de pontos focais em cada área;
• Elaborar Portaria que institui diretrizes e responsabilidades no âmbito do Programa de Governança em Privacidade da ANP.
Instituição de Estrutura Organizacional para Governança e Gestão da Proteção de Dados Pessoais
Descrição: A estruturação da gestão da proteção de dados pessoais, atividade que consiste em definir as competências
regimentais para o desempenho das atribuições necessárias à observância da LGPD na Agência, foi realizada e não precisa ser
repetida a cada ciclo.
Responsável: Diretoria Colegiada
Coordenação: SGE
Observação: Foi estabelecido no Regimento Interno que compete à SGE coordenar a elaboração e a implementação do
Programa de Governança em Privacidade (art. 94, XIII), e compete à Ouvidoria atuar como canal de comunicação entre a ANP,
os titulares dos dados e a Autoridade Nacional de Proteção de Dados - ANPD (art. 97, VII).
Inventário de Dados Pessoais
Descrição: Mapear o ciclo de vida de todos os dados pessoais tratados pela Agência, orientando os interlocutores indicados
por cada unidade organizacional na coleta desses dados em uma base tabular estruturada que permita gerenciá-lo
posteriormente.
Coordenação: SGE
Execução: Descentralizada nas Unidades Organizacionais, de acordo com os ciclos apresentados na metodologia.
Subatividades:
• Criação de Base de Dados para o Inventário - A criação da base de dados para o inventário de dados pessoais foi
inicialmente pensada para um formato em planilha Excel, em que cada Uorg preenche o seu arquivo, sendo eles
armazenados em pasta compartilhada na nuvem corporativa da ANP, dentro do grupo da Coordenação de Governança
da SGE. No entanto, cabe ser esse formato repensado em tempo oportuno, pois a consulta por determinado item fica
dificultada quando se tem o inventário particionado em arquivos distintos, além da interface para preenchimento e para a
consulta não ser amigável;
• Comunicar o início das atividades e solicitar a indicação de interlocutores pelas unidades envolvidas;
• Realizar reuniões com os interlocutores indicados pelas Uorgs para apresentação do tema e fornecimento de orientações
para o preenchimento da planilha de inventário de dados pessoais;
• Fazer o levantamento dos dados e preencher o inventário.
9"
governanca-privacidade (1).pdf,10,"PROGRAMA DE GOVERNANÇA EM PRIVACIDADE DA ANP | SGE – ANP | 2021
Levantamento de Contratos relacionados a Dados Pessoais
Descrição: Identificar contratos em que a Agência coleta, transfere e processa dados pessoais. Verificar a possibilidade de fazer
essa revisão no momento de cada renovação. Verificar nas planilhas de inventário se há algo nesse sentido, caso contrário
precisaremos voltar a essas áreas para resolver essa tarefa.
Coordenação: SGE
Execução: Descentralizada nas Unidades Organizacionais, de acordo com os ciclos apresentados na metodologia
B. Fase de construção e execução
Políticas e Práticas para Proteção da Privacidade do Cidadão
Descrição: Desenvolver políticas e práticas para proteger a privacidade do cidadão, garantindo que todos os usos dos dados
pessoais são conhecidos e adequados de acordo com as leis, bem como sua proteção contra mau uso ou revelação inadvertida
ou deliberada.
Responsável: SGE/STI/SGP
Subatividades:
• Analisar os inventários encaminhados pelas unidades envolvidas;
• Analisar e priorizar medidas de segurança em bancos de dados, sistemas, redes e servidores de infraestrutura da ANP;
• Capacitação dos servidores envolvidos na implementação da LGPD - Realizar treinamento para os servidores diretamente
envolvidos em atividades que realizam tratamento de dados pessoais (capacitação prioritária).
Cultura de Segurança e Proteção de Dados e Privacidade desde a Concepção (Privacy by Design)
Descrição: Disseminação da cultura de segurança e proteção de dados e privacidade com o intuito de comunicar os objetivos,
metas e indicadores utilizados, além de divulgar o papel da Administração Pública como custodiante dos dados e sua
responsabilidade ao tratar os dados pessoais dos cidadãos.
Execução: SGE/OUV/SCI/SGP
Subatividades:
• Instituir plano de capacitação que abranja treinamento e conscientização de seus servidores e colaboradores em proteção
de dados pessoais por meio de palestras e cursos.
• Implementar o conceito de Privacidade desde a Concepção de forma que a privacidade e a proteção de dados sejam
consideradas desde a concepção e durante todo o ciclo de vida do projeto, sistema, serviço, produto ou processo.
• Implementar por meios de comunicados periódicos mensais a cultura de segurança e proteção de dados pessoais.
Elaboração de Relatórios de Impacto de Proteção de Dados (RIPD)
Descrição: Elaborar relatórios de impacto de proteção de dados com vistas a mitigar os riscos de danos aos titulares
(depende do inventário de dados).
Coordenação: SGE
Execução: Descentralizada nas Unidades Organizacionais, de acordo com os ciclos apresentados na metodologia
Medidas e Política de Segurança da Informação / Política de Privacidade / Termo de Uso
Descrição: Desenvolver uma política de segurança da instituição, conforme a Instrução Normativa nº 1, de 27 de maio de 2020,
do Gabinete de Segurança Institucional da Presidência da República (GSI/PR). Elaborar uma Política de Privacidade, documento
informativo pelo qual o prestador de serviço transparece ao usuário a forma como o serviço realiza o tratamento dos dados
pessoais e como ele fornece privacidade ao usuário, bom como elaborar Termo de Uso.
Responsável: SGE
Subatividades:
• Revisar a Política de Segurança da Informação e Comunicações – POSIC
• Elaborar Política de Privacidade e Termo de Uso para sistema, formulários de inscrição em eventos e pesquisa de qualidade;
• Elaborar Aviso de Privacidade do site da ANP.
10"
